train/reward,train/n_updates,time/time_elapsed,time/total_timesteps,train/learning_rate,time/episodes,train/critic_loss,train/actor_loss,time/fps
-33.14525,9039,932,9140,0.0001,4,2701.84814453125,-42.875892639160156,9
-33.14525,18179,2021,18280,0.0001,8,1842.977783203125,-38.61829376220703,9
-33.14525,27319,2367,27420,0.0001,12,1267.790283203125,-36.71735763549805,11
-33.15945,36459,2397,36560,0.0001,16,1621.584228515625,-29.43400001525879,15
-33.14525,45599,3447,45700,0.0001,20,1110.03125,-18.328027725219727,13
-33.15945,54739,4384,54840,0.0001,24,896.453125,-14.190093994140625,12
-33.14525,63879,4414,63980,0.0001,28,999.015380859375,9.867349624633789,14
-33.14525,73019,5403,73120,0.0001,32,900.1090698242188,18.760255813598633,13
-33.14525,82159,6034,82260,0.0001,36,856.2789916992188,10.204358100891113,13
-33.14525,91299,6065,91400,0.0001,40,662.1834716796875,17.706466674804688,15
-33.14525,100439,6553,100540,0.0001,44,950.5722045898438,23.148256301879883,15
-33.13105,109579,7614,109680,0.0001,48,915.4024658203125,18.497987747192383,14
-33.14525,118719,7644,118820,0.0001,52,688.3406982421875,20.565893173217773,15
-33.15945,127859,8663,127960,0.0001,56,789.288818359375,38.639015197753906,14
-33.14525,136999,9629,137100,0.0001,60,791.441162109375,57.82817840576172,14
-33.15945,146139,10647,146240,0.0001,64,1017.3050537109375,46.39200973510742,13
-33.14525,155279,10678,155380,0.0001,68,777.309326171875,52.59382629394531,14
-33.15945,164419,11610,164520,0.0001,72,688.3572998046875,73.65278625488281,14
-33.14525,173559,12548,173660,0.0001,76,580.5364990234375,62.41780090332031,13
-33.14525,182699,12579,182800,0.0001,80,816.8323974609375,74.97492218017578,14
-33.15945,191839,13313,191940,0.0001,84,893.1837158203125,98.46159362792969,14
-33.14525,200979,14278,201080,0.0001,88,712.9979248046875,89.18346405029297,14
-33.14525,210119,14309,210220,0.0001,92,822.207275390625,96.07831573486328,14
-33.14525,219259,15242,219360,0.0001,96,786.4155883789062,99.62885284423828,14
-33.14525,228399,16291,228500,0.0001,100,1413.619140625,93.98348236083984,14
-33.14525,237539,16955,237640,0.0001,104,651.7425537109375,114.9065933227539,14
-33.14525,246679,16985,246780,0.0001,108,649.2678833007812,108.67518615722656,14
-33.14525,255819,17988,255920,0.0001,112,591.500732421875,126.8538818359375,14
-33.14525,264959,18973,265060,0.0001,116,1136.879150390625,128.66378784179688,13
-33.14525,274099,19003,274200,0.0001,120,558.0570678710938,133.42050170898438,14
-33.14525,283239,19941,283340,0.0001,124,754.4295654296875,135.56015014648438,14
-33.14525,292379,20623,292480,0.0001,128,935.26806640625,142.47317504882812,14
